document,cdrom
http://localhost/publications/articles/Journal1/1940/Article1,http://www.hogfishes.tld/richer/succories.html
http://localhost/publications/articles/Journal1/1940/Article2,http://www.dwelling.tld/prat/islanded.html
http://localhost/publications/articles/Journal1/1940/Article3,http://www.burlily.tld/swiveled/polers.html
http://localhost/publications/articles/Journal1/1940/Article4,http://www.oinked.tld/maxillary/dumpers.html
http://localhost/publications/articles/Journal1/1942/Article6,http://www.reducing.tld/nonfiction/retrogressions.html
http://localhost/publications/articles/Journal1/1944/Article13,http://www.defalcate.tld/forfends/voucherable.html
http://localhost/publications/articles/Journal1/1946/Article10,http://www.sliming.tld/virological/results.html
http://localhost/publications/articles/Journal1/1946/Article15,http://www.paraphraser.tld/uncovering/infested.html
http://localhost/publications/articles/Journal1/1948/Article24,http://www.particularity.tld/angelicas/ricercar.html
http://localhost/publications/articles/Journal1/1949/Article16,http://www.retrofire.tld/kanjis/nonlethal.html
http://localhost/publications/articles/Journal1/1950/Article9,http://www.sorbitol.tld/gophers/cones.html
http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding2,http://www.worrywarts.tld/munificently/sleekened.html
http://localhost/publications/inprocs/Proceeding1/1954/Inproceeding33,http://www.furnaces.tld/berthas/blindfolding.html
http://localhost/publications/articles/Journal1/1954/Article8,http://www.drooping.tld/visorless/yeomen.html
http://localhost/publications/articles/Journal3/1954/Article104,http://www.nutritionally.tld/distills/interrogational.html
http://localhost/publications/inprocs/Proceeding1/1955/Inproceeding25,http://www.coigns.tld/reusability/ablings.html
http://localhost/publications/incolls/1955/Incollection1,http://www.forequarter.tld/affording/quieter.html
http://localhost/publications/inprocs/Proceeding1/1956/Inproceeding11,http://www.wenny.tld/deliberation/nurtures.html
http://localhost/publications/articles/Journal2/1956/Article39,http://www.shorn.tld/scattersite/disfigure.html
http://localhost/publications/articles/Journal3/1956/Article105,http://www.vampirism.tld/typecast/slipover.html
http://localhost/publications/articles/Journal2/1957/Article45,http://www.indignantly.tld/clashed/overworks.html
http://localhost/publications/articles/Journal3/1957/Article97,http://www.linkable.tld/tellers/nonabsorbent.html
http://localhost/publications/articles/Journal3/1957/Article110,http://www.identifications.tld/ravelly/flaunts.html
http://localhost/publications/articles/Journal4/1957/Article128,http://www.passports.tld/bloats/annunciatory.html
http://localhost/publications/articles/Journal2/1958/Article34,http://www.visiters.tld/bolter/manubrium.html
http://localhost/publications/articles/Journal4/1958/Article150,http://www.ethologists.tld/allegretto/sours.html
http://localhost/publications/inprocs/Proceeding1/1959/Inproceeding22,http://www.decryptions.tld/souffles/smarter.html
http://localhost/publications/inprocs/Proceeding1/1959/Inproceeding25,http://www.rerun.tld/developed/outfights.html
http://localhost/publications/articles/Journal1/1959/Article174,http://www.adjuratory.tld/ceylonese/pyric.html
http://localhost/publications/articles/Journal3/1959/Article186,http://www.yappers.tld/wench/homemakers.html
http://localhost/publications/articles/Journal4/1959/Article127,http://www.delusionist.tld/handcart/sulkier.html
http://localhost/publications/articles/Journal4/1959/Article187,http://www.foreskins.tld/greenstick/uninclosed.html
http://localhost/publications/articles/Journal3/1960/Article74,http://www.reusableness.tld/virologist/striker.html
http://localhost/publications/articles/Journal3/1960/Article79,http://www.matings.tld/heritors/reconciles.html
http://localhost/publications/articles/Journal4/1960/Article131,http://www.bleachers.tld/finning/dropping.html
http://localhost/publications/articles/Journal4/1960/Article136,http://www.transitoriness.tld/unpardonably/sexlessness.html
http://localhost/publications/articles/Journal4/1960/Article137,http://www.sexlessness.tld/normativeness/noticing.html
http://localhost/publications/articles/Journal4/1960/Article219,http://www.giantesses.tld/routeman/klatsch.html
http://localhost/publications/articles/Journal6/1960/Article194,http://www.acceptive.tld/mishandled/seedpod.html
http://localhost/publications/inprocs/Proceeding1/1961/Inproceeding9,http://www.nephritises.tld/voidableness/dissects.html
http://localhost/publications/inprocs/Proceeding1/1961/Inproceeding12,http://www.membranaceous.tld/flits/nondeliveries.html
http://localhost/publications/articles/Journal2/1961/Article80,http://www.gushes.tld/resiliency/coronals.html
http://localhost/publications/articles/Journal2/1961/Article215,http://www.lately.tld/therapeutical/southeasterly.html
http://localhost/publications/inprocs/Proceeding2/1961/Inproceeding50,http://www.stalagmite.tld/regarded/cocoas.html
http://localhost/publications/inprocs/Proceeding2/1961/Inproceeding51,http://www.epileptics.tld/tzarina/reconfiscating.html
http://localhost/publications/articles/Journal5/1961/Article230,http://www.praiseworthily.tld/constraints/stultified.html
http://localhost/publications/articles/Journal6/1961/Article179,http://www.sorrower.tld/untangles/tearers.html
http://localhost/publications/articles/Journal6/1961/Article199,http://www.jaggers.tld/spurned/cannonaded.html
http://localhost/publications/articles/Journal1/1962/Article4,http://www.relishable.tld/outspread/obsoleted.html
http://localhost/publications/articles/Journal1/1962/Article280,http://www.balsaming.tld/inducts/afros.html
http://localhost/publications/articles/Journal2/1962/Article51,http://www.amercing.tld/intergroup/rattlings.html
http://localhost/publications/articles/Journal3/1962/Article70,http://www.appropriately.tld/atomism/subsequently.html
http://localhost/publications/articles/Journal4/1962/Article119,http://www.undertaking.tld/beadwork/reattempt.html
http://localhost/publications/inprocs/Proceeding3/1962/Inproceeding85,http://www.stubbing.tld/trows/nixes.html
http://localhost/publications/inprocs/Proceeding1/1963/Inproceeding9,http://www.abnormally.tld/reverberator/rallye.html
http://localhost/publications/articles/Journal2/1963/Article37,http://www.seamiest.tld/misdraws/revolvers.html
http://localhost/publications/inprocs/Proceeding2/1963/Inproceeding68,http://www.missilry.tld/erbiums/ripcords.html
http://localhost/publications/inprocs/Proceeding2/1963/Inproceeding69,http://www.mobbish.tld/reenacting/nonexplosives.html
http://localhost/publications/articles/Journal4/1963/Article131,http://www.prosed.tld/scrimpiest/sinkable.html
http://localhost/publications/articles/Journal6/1963/Article204,http://www.webfeet.tld/fanlights/reappraises.html
http://localhost/publications/inprocs/Proceeding3/1963/Inproceeding129,http://www.dazedly.tld/heterosexuality/volatilizes.html
http://localhost/publications/articles/Journal4/1964/Article140,http://www.consanguinities.tld/tympanic/tenours.html
http://localhost/publications/articles/Journal5/1964/Article163,http://www.remediless.tld/flecky/obsidians.html
http://localhost/publications/articles/Journal5/1964/Article171,http://www.doggerel.tld/repayment/recharters.html
http://localhost/publications/articles/Journal5/1964/Article186,http://www.murderees.tld/inweaves/coopting.html
http://localhost/publications/inprocs/Proceeding1/1965/Inproceeding18,http://www.motherboard.tld/flooey/tirelessness.html
http://localhost/publications/inprocs/Proceeding3/1965/Inproceeding151,http://www.senoritas.tld/semiconductors/vends.html
http://localhost/publications/inprocs/Proceeding3/1965/Inproceeding173,http://www.elmiest.tld/stiffens/noncommittally.html
http://localhost/publications/articles/Journal8/1965/Article388,http://www.quavered.tld/radiancy/parried.html
http://localhost/publications/articles/Journal10/1965/Article359,http://www.relique.tld/prettifies/sensing.html
http://localhost/publications/inprocs/Proceeding1/1966/Inproceeding22,http://www.custards.tld/devaluing/lissomeness.html
http://localhost/publications/articles/Journal2/1966/Article62,http://www.stinko.tld/warks/stibium.html
http://localhost/publications/articles/Journal2/1966/Article68,http://www.whished.tld/antecedents/fulfils.html
http://localhost/publications/inprocs/Proceeding2/1966/Inproceeding44,http://www.paucities.tld/unitized/alginates.html
http://localhost/publications/articles/Journal4/1966/Article127,http://www.declassifications.tld/fallouts/detracts.html
http://localhost/publications/articles/Journal4/1966/Article136,http://www.restamps.tld/outthink/unscrupulousness.html
http://localhost/publications/articles/Journal5/1966/Article195,http://www.ulcering.tld/reproachable/prosceniums.html
http://localhost/publications/inprocs/Proceeding3/1966/Inproceeding100,http://www.generousness.tld/constituencies/witherer.html
http://localhost/publications/articles/Journal7/1966/Article266,http://www.impossibleness.tld/fettlings/toasty.html
http://localhost/publications/inprocs/Proceeding4/1966/Inproceeding144,http://www.anesthetics.tld/overspins/altercations.html
http://localhost/publications/inprocs/Proceeding4/1966/Inproceeding173,http://www.silkworms.tld/mechanotherapy/allegorist.html
http://localhost/publications/articles/Journal12/1966/Article443,http://www.corgis.tld/supplicant/denicotinized.html
http://localhost/publications/inprocs/Proceeding1/1967/Inproceeding26,http://www.allocator.tld/inheritances/accusatively.html
http://localhost/publications/inprocs/Proceeding1/1967/Inproceeding43,http://www.haps.tld/unconversant/blueprinted.html
http://localhost/publications/articles/Journal2/1967/Article74,http://www.normalizing.tld/versatilely/unexplained.html
http://localhost/publications/inprocs/Proceeding2/1967/Inproceeding58,http://www.terrariums.tld/holdouts/expandable.html
http://localhost/publications/articles/Journal5/1967/Article166,http://www.unprofessed.tld/hyperbaric/cirrose.html
http://localhost/publications/articles/Journal5/1967/Article168,http://www.stimies.tld/welshes/chia.html
http://localhost/publications/inprocs/Proceeding3/1967/Inproceeding114,http://www.piteousness.tld/coursing/pulverized.html
http://localhost/publications/articles/Journal10/1967/Article392,http://www.banjos.tld/unfolded/rooftrees.html
http://localhost/publications/inprocs/Proceeding6/1967/Inproceeding223,http://www.teasingly.tld/goffer/preorganization.html
http://localhost/publications/inprocs/Proceeding1/1968/Inproceeding24,http://www.costiveness.tld/auldest/skidding.html
http://localhost/publications/articles/Journal3/1968/Article95,http://www.cliffs.tld/overstepped/kilning.html
http://localhost/publications/articles/Journal4/1968/Article129,http://www.extorsion.tld/neurologize/photosphere.html
http://localhost/publications/articles/Journal5/1968/Article186,http://www.inclosers.tld/clumps/misadministration.html
http://localhost/publications/articles/Journal6/1968/Article235,http://www.circuities.tld/clavicle/pained.html
http://localhost/publications/articles/Journal7/1968/Article271,http://www.winked.tld/immigrants/futilities.html
http://localhost/publications/inprocs/Proceeding4/1968/Inproceeding116,http://www.bootlegs.tld/derailing/seascout.html
http://localhost/publications/articles/Journal8/1968/Article322,http://www.loverly.tld/dingdonged/guacamole.html
http://localhost/publications/inprocs/Proceeding5/1968/Inproceeding148,http://www.rocketing.tld/armrest/intellectuals.html
http://localhost/publications/inprocs/Proceeding5/1968/Inproceeding174,http://www.inexorably.tld/separateness/flaunter.html
http://localhost/publications/inprocs/Proceeding5/1968/Inproceeding187,http://www.combustive.tld/begums/pertains.html
http://localhost/publications/articles/Journal11/1968/Article464,http://www.crawlers.tld/bellworts/saltiness.html
http://localhost/publications/articles/Journal12/1968/Article480,http://www.nonentities.tld/sensualistic/veterinaries.html
http://localhost/publications/articles/Journal13/1968/Article520,http://www.literariness.tld/interrogated/wreaker.html
http://localhost/publications/inprocs/Proceeding7/1968/Inproceeding277,http://www.rosewater.tld/chokier/umpires.html
http://localhost/publications/inprocs/Proceeding1/1969/Inproceeding23,http://www.menthols.tld/cloyed/jerboas.html
http://localhost/publications/inprocs/Proceeding1/1969/Inproceeding38,http://www.screeching.tld/stied/rutted.html
http://localhost/publications/articles/Journal3/1969/Article123,http://www.impassability.tld/thens/podiatry.html
http://localhost/publications/articles/Journal5/1969/Article206,http://www.retractor.tld/mademoiselles/subtended.html
http://localhost/publications/inprocs/Proceeding3/1969/Inproceeding86,http://www.punsters.tld/zymase/deliverer.html
http://localhost/publications/inprocs/Proceeding3/1969/Inproceeding113,http://www.dilatorily.tld/gunboats/creosotes.html
http://localhost/publications/articles/Journal6/1969/Article214,http://www.blissfulness.tld/lumps/seafaring.html
http://localhost/publications/articles/Journal12/1969/Article442,http://www.berrylike.tld/legitimateness/goalies.html
http://localhost/publications/articles/Journal13/1969/Article478,http://www.misappropriations.tld/apprentices/overfatiguing.html
http://localhost/publications/articles/Journal13/1969/Article491,http://www.infiniteness.tld/direr/hastes.html
http://localhost/publications/articles/Journal13/1969/Article493,http://www.cordially.tld/imperialness/willowed.html
http://localhost/publications/inprocs/Proceeding7/1969/Inproceeding269,http://www.sisters.tld/ladyfingers/unshrinkable.html
http://localhost/publications/articles/Journal1/1970/Article21,http://www.deices.tld/shakoes/whelps.html
http://localhost/publications/articles/Journal1/1970/Article22,http://www.unremembered.tld/compte/idolater.html
http://localhost/publications/articles/Journal1/1970/Article36,http://www.perimeters.tld/rheologists/mightiest.html
http://localhost/publications/inprocs/Proceeding2/1970/Inproceeding36,http://www.garlanding.tld/fauvisms/antiknock.html
http://localhost/publications/inprocs/Proceeding3/1970/Inproceeding107,http://www.sandburrs.tld/homespuns/ironies.html
http://localhost/publications/articles/Journal7/1970/Article256,http://www.jawbreakers.tld/clayed/outgrowths.html
http://localhost/publications/articles/Journal11/1970/Article375,http://www.profounds.tld/scratchpad/pugnaciously.html
http://localhost/publications/inprocs/Proceeding6/1970/Inproceeding222,http://www.bedsore.tld/usurping/prevailed.html
http://localhost/publications/articles/Journal13/1970/Article442,http://www.varietal.tld/lowercase/variorums.html
http://localhost/publications/inprocs/Proceeding7/1970/Inproceeding259,http://www.gathered.tld/qintars/overintense.html
http://localhost/publications/articles/Journal15/1970/Article516,http://www.indurates.tld/xenocryst/reekers.html
http://localhost/publications/inprocs/Proceeding8/1970/Inproceeding308,http://www.undoer.tld/barricader/vole.html
http://localhost/publications/articles/Journal17/1970/Article581,http://www.unburdened.tld/embellished/stratigraphic.html
http://localhost/publications/inprocs/Proceeding9/1970/Inproceeding339,http://www.radicated.tld/prorestoration/cirrostratus.html
http://localhost/publications/articles/Journal18/1970/Article604,http://www.glimmers.tld/possessively/peeps.html
http://localhost/publications/inprocs/Proceeding1/1971/Inproceeding15,http://www.unbaptized.tld/reintroduce/oversuspicious.html
http://localhost/publications/inprocs/Proceeding1/1971/Inproceeding26,http://www.refortifying.tld/quivered/pollutants.html
http://localhost/publications/inprocs/Proceeding1/1971/Inproceeding39,http://www.slipknot.tld/executers/initially.html
http://localhost/publications/articles/Journal1/1971/Article8,http://www.pennines.tld/fingerings/commemorating.html
http://localhost/publications/articles/Journal1/1971/Article11,http://www.downfallen.tld/exclamations/exemplified.html
http://localhost/publications/articles/Journal3/1971/Article99,http://www.heightened.tld/dews/rimmer.html
http://localhost/publications/articles/Journal6/1971/Article208,http://www.eventually.tld/nonpossessive/clericalists.html
http://localhost/publications/inprocs/Proceeding4/1971/Inproceeding140,http://www.pigeons.tld/capillarity/directing.html
http://localhost/publications/articles/Journal8/1971/Article314,http://www.bestirs.tld/unwrinkled/degenerating.html
http://localhost/publications/inprocs/Proceeding5/1971/Inproceeding188,http://www.effectuates.tld/canyons/furthering.html
http://localhost/publications/inprocs/Proceeding6/1971/Inproceeding227,http://www.jigaboos.tld/triadisms/mateys.html
http://localhost/publications/articles/Journal13/1971/Article517,http://www.exciters.tld/covenanted/masker.html
http://localhost/publications/inprocs/Proceeding7/1971/Inproceeding246,http://www.fizzled.tld/batching/bystanders.html
http://localhost/publications/inprocs/Proceeding8/1971/Inproceeding318,http://www.meetly.tld/uvularly/bucko.html
http://localhost/publications/articles/Journal17/1971/Article664,http://www.lampooned.tld/revisers/plasticizer.html
http://localhost/publications/inprocs/Proceeding10/1971/Inproceeding374,http://www.saluter.tld/dryrot/treaders.html
http://localhost/publications/inprocs/Proceeding10/1971/Inproceeding436,http://www.ginning.tld/tankage/settleability.html
http://localhost/publications/inprocs/Proceeding1/1972/Inproceeding55,http://www.microtomy.tld/bicyclist/potashes.html
http://localhost/publications/inprocs/Proceeding2/1972/Inproceeding63,http://www.eyes.tld/arrests/gringo.html
http://localhost/publications/inprocs/Proceeding2/1972/Inproceeding84,http://www.hasidic.tld/sacrosanctness/boyishness.html
http://localhost/publications/articles/Journal3/1972/Article88,http://www.availed.tld/undershorts/renewer.html
http://localhost/publications/articles/Journal4/1972/Article108,http://www.vacuity.tld/monition/gangers.html
http://localhost/publications/articles/Journal6/1972/Article176,http://www.hammy.tld/sulfates/clagging.html
