Venue,title
http://localhost/publications/journals/Journal1/1940,Journal 1 (1940)
http://localhost/publications/journals/Journal1/1941,Journal 1 (1941)
http://localhost/publications/journals/Journal1/1942,Journal 1 (1942)
http://localhost/publications/journals/Journal1/1943,Journal 1 (1943)
http://localhost/publications/journals/Journal1/1944,Journal 1 (1944)
http://localhost/publications/journals/Journal1/1945,Journal 1 (1945)
http://localhost/publications/journals/Journal1/1946,Journal 1 (1946)
http://localhost/publications/journals/Journal1/1947,Journal 1 (1947)
http://localhost/publications/journals/Journal1/1948,Journal 1 (1948)
http://localhost/publications/journals/Journal1/1949,Journal 1 (1949)
http://localhost/publications/journals/Journal2/1949,Journal 2 (1949)
http://localhost/publications/journals/Journal1/1950,Journal 1 (1950)
http://localhost/publications/journals/Journal2/1950,Journal 2 (1950)
http://localhost/publications/journals/Journal1/1951,Journal 1 (1951)
http://localhost/publications/journals/Journal2/1951,Journal 2 (1951)
http://localhost/publications/journals/Journal1/1952,Journal 1 (1952)
http://localhost/publications/journals/Journal2/1952,Journal 2 (1952)
http://localhost/publications/journals/Journal1/1953,Journal 1 (1953)
http://localhost/publications/journals/Journal2/1953,Journal 2 (1953)
http://localhost/publications/journals/Journal1/1954,Journal 1 (1954)
http://localhost/publications/journals/Journal2/1954,Journal 2 (1954)
http://localhost/publications/journals/Journal3/1954,Journal 3 (1954)
http://localhost/publications/journals/Journal1/1955,Journal 1 (1955)
http://localhost/publications/journals/Journal2/1955,Journal 2 (1955)
http://localhost/publications/journals/Journal3/1955,Journal 3 (1955)
http://localhost/publications/journals/Journal1/1956,Journal 1 (1956)
http://localhost/publications/journals/Journal2/1956,Journal 2 (1956)
http://localhost/publications/journals/Journal3/1956,Journal 3 (1956)
http://localhost/publications/journals/Journal4/1956,Journal 4 (1956)
http://localhost/publications/journals/Journal1/1957,Journal 1 (1957)
http://localhost/publications/journals/Journal2/1957,Journal 2 (1957)
http://localhost/publications/journals/Journal3/1957,Journal 3 (1957)
http://localhost/publications/journals/Journal4/1957,Journal 4 (1957)
http://localhost/publications/journals/Journal1/1958,Journal 1 (1958)
http://localhost/publications/journals/Journal2/1958,Journal 2 (1958)
http://localhost/publications/journals/Journal3/1958,Journal 3 (1958)
http://localhost/publications/journals/Journal4/1958,Journal 4 (1958)
http://localhost/publications/journals/Journal5/1958,Journal 5 (1958)
http://localhost/publications/journals/Journal1/1959,Journal 1 (1959)
http://localhost/publications/journals/Journal2/1959,Journal 2 (1959)
http://localhost/publications/journals/Journal3/1959,Journal 3 (1959)
http://localhost/publications/journals/Journal4/1959,Journal 4 (1959)
http://localhost/publications/journals/Journal5/1959,Journal 5 (1959)
http://localhost/publications/journals/Journal1/1960,Journal 1 (1960)
http://localhost/publications/journals/Journal2/1960,Journal 2 (1960)
http://localhost/publications/journals/Journal3/1960,Journal 3 (1960)
http://localhost/publications/journals/Journal4/1960,Journal 4 (1960)
http://localhost/publications/journals/Journal5/1960,Journal 5 (1960)
http://localhost/publications/journals/Journal6/1960,Journal 6 (1960)
http://localhost/publications/journals/Journal1/1961,Journal 1 (1961)
http://localhost/publications/journals/Journal2/1961,Journal 2 (1961)
http://localhost/publications/journals/Journal3/1961,Journal 3 (1961)
http://localhost/publications/journals/Journal4/1961,Journal 4 (1961)
http://localhost/publications/journals/Journal5/1961,Journal 5 (1961)
http://localhost/publications/journals/Journal6/1961,Journal 6 (1961)
http://localhost/publications/journals/Journal1/1962,Journal 1 (1962)
http://localhost/publications/journals/Journal2/1962,Journal 2 (1962)
http://localhost/publications/journals/Journal3/1962,Journal 3 (1962)
http://localhost/publications/journals/Journal4/1962,Journal 4 (1962)
http://localhost/publications/journals/Journal5/1962,Journal 5 (1962)
http://localhost/publications/journals/Journal6/1962,Journal 6 (1962)
http://localhost/publications/journals/Journal7/1962,Journal 7 (1962)
http://localhost/publications/journals/Journal1/1963,Journal 1 (1963)
http://localhost/publications/journals/Journal2/1963,Journal 2 (1963)
http://localhost/publications/journals/Journal3/1963,Journal 3 (1963)
http://localhost/publications/journals/Journal4/1963,Journal 4 (1963)
http://localhost/publications/journals/Journal5/1963,Journal 5 (1963)
http://localhost/publications/journals/Journal6/1963,Journal 6 (1963)
http://localhost/publications/journals/Journal7/1963,Journal 7 (1963)
http://localhost/publications/journals/Journal8/1963,Journal 8 (1963)
http://localhost/publications/journals/Journal1/1964,Journal 1 (1964)
http://localhost/publications/journals/Journal2/1964,Journal 2 (1964)
http://localhost/publications/journals/Journal3/1964,Journal 3 (1964)
http://localhost/publications/journals/Journal4/1964,Journal 4 (1964)
http://localhost/publications/journals/Journal5/1964,Journal 5 (1964)
http://localhost/publications/journals/Journal6/1964,Journal 6 (1964)
http://localhost/publications/journals/Journal7/1964,Journal 7 (1964)
http://localhost/publications/journals/Journal8/1964,Journal 8 (1964)
http://localhost/publications/journals/Journal9/1964,Journal 9 (1964)
http://localhost/publications/journals/Journal1/1965,Journal 1 (1965)
http://localhost/publications/journals/Journal2/1965,Journal 2 (1965)
http://localhost/publications/journals/Journal3/1965,Journal 3 (1965)
http://localhost/publications/journals/Journal4/1965,Journal 4 (1965)
http://localhost/publications/journals/Journal5/1965,Journal 5 (1965)
http://localhost/publications/journals/Journal6/1965,Journal 6 (1965)
http://localhost/publications/journals/Journal7/1965,Journal 7 (1965)
http://localhost/publications/journals/Journal8/1965,Journal 8 (1965)
http://localhost/publications/journals/Journal9/1965,Journal 9 (1965)
http://localhost/publications/journals/Journal10/1965,Journal 10 (1965)
http://localhost/publications/journals/Journal1/1966,Journal 1 (1966)
http://localhost/publications/journals/Journal2/1966,Journal 2 (1966)
http://localhost/publications/journals/Journal3/1966,Journal 3 (1966)
http://localhost/publications/journals/Journal4/1966,Journal 4 (1966)
http://localhost/publications/journals/Journal5/1966,Journal 5 (1966)
http://localhost/publications/journals/Journal6/1966,Journal 6 (1966)
http://localhost/publications/journals/Journal7/1966,Journal 7 (1966)
http://localhost/publications/journals/Journal8/1966,Journal 8 (1966)
http://localhost/publications/journals/Journal9/1966,Journal 9 (1966)
http://localhost/publications/journals/Journal10/1966,Journal 10 (1966)
http://localhost/publications/journals/Journal11/1966,Journal 11 (1966)
http://localhost/publications/journals/Journal12/1966,Journal 12 (1966)
http://localhost/publications/journals/Journal1/1967,Journal 1 (1967)
http://localhost/publications/journals/Journal2/1967,Journal 2 (1967)
http://localhost/publications/journals/Journal3/1967,Journal 3 (1967)
http://localhost/publications/journals/Journal4/1967,Journal 4 (1967)
http://localhost/publications/journals/Journal5/1967,Journal 5 (1967)
http://localhost/publications/journals/Journal6/1967,Journal 6 (1967)
http://localhost/publications/journals/Journal7/1967,Journal 7 (1967)
http://localhost/publications/journals/Journal8/1967,Journal 8 (1967)
http://localhost/publications/journals/Journal9/1967,Journal 9 (1967)
http://localhost/publications/journals/Journal10/1967,Journal 10 (1967)
http://localhost/publications/journals/Journal11/1967,Journal 11 (1967)
http://localhost/publications/journals/Journal12/1967,Journal 12 (1967)
http://localhost/publications/journals/Journal13/1967,Journal 13 (1967)
http://localhost/publications/journals/Journal1/1968,Journal 1 (1968)
http://localhost/publications/journals/Journal2/1968,Journal 2 (1968)
http://localhost/publications/journals/Journal3/1968,Journal 3 (1968)
http://localhost/publications/journals/Journal4/1968,Journal 4 (1968)
http://localhost/publications/journals/Journal5/1968,Journal 5 (1968)
http://localhost/publications/journals/Journal6/1968,Journal 6 (1968)
http://localhost/publications/journals/Journal7/1968,Journal 7 (1968)
http://localhost/publications/journals/Journal8/1968,Journal 8 (1968)
http://localhost/publications/journals/Journal9/1968,Journal 9 (1968)
http://localhost/publications/journals/Journal10/1968,Journal 10 (1968)
http://localhost/publications/journals/Journal11/1968,Journal 11 (1968)
http://localhost/publications/journals/Journal12/1968,Journal 12 (1968)
http://localhost/publications/journals/Journal13/1968,Journal 13 (1968)
http://localhost/publications/journals/Journal14/1968,Journal 14 (1968)
http://localhost/publications/journals/Journal15/1968,Journal 15 (1968)
http://localhost/publications/journals/Journal1/1969,Journal 1 (1969)
http://localhost/publications/journals/Journal2/1969,Journal 2 (1969)
http://localhost/publications/journals/Journal3/1969,Journal 3 (1969)
http://localhost/publications/journals/Journal4/1969,Journal 4 (1969)
http://localhost/publications/journals/Journal5/1969,Journal 5 (1969)
http://localhost/publications/journals/Journal6/1969,Journal 6 (1969)
http://localhost/publications/journals/Journal7/1969,Journal 7 (1969)
http://localhost/publications/journals/Journal8/1969,Journal 8 (1969)
http://localhost/publications/journals/Journal9/1969,Journal 9 (1969)
http://localhost/publications/journals/Journal10/1969,Journal 10 (1969)
http://localhost/publications/journals/Journal11/1969,Journal 11 (1969)
http://localhost/publications/journals/Journal12/1969,Journal 12 (1969)
http://localhost/publications/journals/Journal13/1969,Journal 13 (1969)
http://localhost/publications/journals/Journal14/1969,Journal 14 (1969)
http://localhost/publications/journals/Journal15/1969,Journal 15 (1969)
http://localhost/publications/journals/Journal16/1969,Journal 16 (1969)
http://localhost/publications/journals/Journal17/1969,Journal 17 (1969)
http://localhost/publications/journals/Journal1/1970,Journal 1 (1970)
http://localhost/publications/journals/Journal2/1970,Journal 2 (1970)
http://localhost/publications/journals/Journal3/1970,Journal 3 (1970)
http://localhost/publications/journals/Journal4/1970,Journal 4 (1970)
http://localhost/publications/journals/Journal5/1970,Journal 5 (1970)
http://localhost/publications/journals/Journal6/1970,Journal 6 (1970)
http://localhost/publications/journals/Journal7/1970,Journal 7 (1970)
http://localhost/publications/journals/Journal8/1970,Journal 8 (1970)
http://localhost/publications/journals/Journal9/1970,Journal 9 (1970)
http://localhost/publications/journals/Journal10/1970,Journal 10 (1970)
http://localhost/publications/journals/Journal11/1970,Journal 11 (1970)
http://localhost/publications/journals/Journal12/1970,Journal 12 (1970)
http://localhost/publications/journals/Journal13/1970,Journal 13 (1970)
http://localhost/publications/journals/Journal14/1970,Journal 14 (1970)
http://localhost/publications/journals/Journal15/1970,Journal 15 (1970)
http://localhost/publications/journals/Journal16/1970,Journal 16 (1970)
http://localhost/publications/journals/Journal17/1970,Journal 17 (1970)
http://localhost/publications/journals/Journal18/1970,Journal 18 (1970)
http://localhost/publications/journals/Journal19/1970,Journal 19 (1970)
http://localhost/publications/journals/Journal1/1971,Journal 1 (1971)
http://localhost/publications/journals/Journal2/1971,Journal 2 (1971)
http://localhost/publications/journals/Journal3/1971,Journal 3 (1971)
http://localhost/publications/journals/Journal4/1971,Journal 4 (1971)
http://localhost/publications/journals/Journal5/1971,Journal 5 (1971)
http://localhost/publications/journals/Journal6/1971,Journal 6 (1971)
http://localhost/publications/journals/Journal7/1971,Journal 7 (1971)
http://localhost/publications/journals/Journal8/1971,Journal 8 (1971)
http://localhost/publications/journals/Journal9/1971,Journal 9 (1971)
http://localhost/publications/journals/Journal10/1971,Journal 10 (1971)
http://localhost/publications/journals/Journal11/1971,Journal 11 (1971)
http://localhost/publications/journals/Journal12/1971,Journal 12 (1971)
http://localhost/publications/journals/Journal13/1971,Journal 13 (1971)
http://localhost/publications/journals/Journal14/1971,Journal 14 (1971)
http://localhost/publications/journals/Journal15/1971,Journal 15 (1971)
http://localhost/publications/journals/Journal16/1971,Journal 16 (1971)
http://localhost/publications/journals/Journal17/1971,Journal 17 (1971)
http://localhost/publications/journals/Journal18/1971,Journal 18 (1971)
http://localhost/publications/journals/Journal19/1971,Journal 19 (1971)
http://localhost/publications/journals/Journal20/1971,Journal 20 (1971)
http://localhost/publications/journals/Journal21/1971,Journal 21 (1971)
http://localhost/publications/journals/Journal1/1972,Journal 1 (1972)
http://localhost/publications/journals/Journal2/1972,Journal 2 (1972)
http://localhost/publications/journals/Journal3/1972,Journal 3 (1972)
http://localhost/publications/journals/Journal4/1972,Journal 4 (1972)
http://localhost/publications/journals/Journal5/1972,Journal 5 (1972)
http://localhost/publications/journals/Journal6/1972,Journal 6 (1972)
http://localhost/publications/journals/Journal7/1972,Journal 7 (1972)
http://localhost/publications/journals/Journal8/1972,Journal 8 (1972)
http://localhost/publications/journals/Journal9/1972,Journal 9 (1972)
http://localhost/publications/procs/Proceeding1/1950,Proceeding 1 (1950)
http://localhost/publications/procs/Proceeding1/1951,Proceeding 1 (1951)
http://localhost/publications/procs/Proceeding1/1952,Proceeding 1 (1952)
http://localhost/publications/procs/Proceeding1/1953,Proceeding 1 (1953)
http://localhost/publications/procs/Proceeding1/1954,Proceeding 1 (1954)
http://localhost/publications/procs/Proceeding1/1955,Proceeding 1 (1955)
http://localhost/publications/procs/Proceeding1/1956,Proceeding 1 (1956)
http://localhost/publications/procs/Proceeding1/1957,Proceeding 1 (1957)
http://localhost/publications/procs/Proceeding1/1958,Proceeding 1 (1958)
http://localhost/publications/procs/Proceeding2/1958,Proceeding 2 (1958)
http://localhost/publications/procs/Proceeding1/1959,Proceeding 1 (1959)
http://localhost/publications/procs/Proceeding2/1959,Proceeding 2 (1959)
http://localhost/publications/procs/Proceeding1/1960,Proceeding 1 (1960)
http://localhost/publications/procs/Proceeding2/1960,Proceeding 2 (1960)
http://localhost/publications/procs/Proceeding1/1961,Proceeding 1 (1961)
http://localhost/publications/procs/Proceeding2/1961,Proceeding 2 (1961)
http://localhost/publications/procs/Proceeding3/1961,Proceeding 3 (1961)
http://localhost/publications/procs/Proceeding1/1962,Proceeding 1 (1962)
http://localhost/publications/procs/Proceeding2/1962,Proceeding 2 (1962)
http://localhost/publications/procs/Proceeding3/1962,Proceeding 3 (1962)
http://localhost/publications/procs/Proceeding1/1963,Proceeding 1 (1963)
http://localhost/publications/procs/Proceeding2/1963,Proceeding 2 (1963)
http://localhost/publications/procs/Proceeding3/1963,Proceeding 3 (1963)
http://localhost/publications/procs/Proceeding1/1964,Proceeding 1 (1964)
http://localhost/publications/procs/Proceeding2/1964,Proceeding 2 (1964)
http://localhost/publications/procs/Proceeding3/1964,Proceeding 3 (1964)
http://localhost/publications/procs/Proceeding4/1964,Proceeding 4 (1964)
http://localhost/publications/procs/Proceeding1/1965,Proceeding 1 (1965)
http://localhost/publications/procs/Proceeding2/1965,Proceeding 2 (1965)
http://localhost/publications/procs/Proceeding3/1965,Proceeding 3 (1965)
http://localhost/publications/procs/Proceeding4/1965,Proceeding 4 (1965)
http://localhost/publications/procs/Proceeding1/1966,Proceeding 1 (1966)
http://localhost/publications/procs/Proceeding2/1966,Proceeding 2 (1966)
http://localhost/publications/procs/Proceeding3/1966,Proceeding 3 (1966)
http://localhost/publications/procs/Proceeding4/1966,Proceeding 4 (1966)
http://localhost/publications/procs/Proceeding5/1966,Proceeding 5 (1966)
http://localhost/publications/procs/Proceeding1/1967,Proceeding 1 (1967)
http://localhost/publications/procs/Proceeding2/1967,Proceeding 2 (1967)
http://localhost/publications/procs/Proceeding3/1967,Proceeding 3 (1967)
http://localhost/publications/procs/Proceeding4/1967,Proceeding 4 (1967)
http://localhost/publications/procs/Proceeding5/1967,Proceeding 5 (1967)
http://localhost/publications/procs/Proceeding6/1967,Proceeding 6 (1967)
http://localhost/publications/procs/Proceeding1/1968,Proceeding 1 (1968)
http://localhost/publications/procs/Proceeding2/1968,Proceeding 2 (1968)
http://localhost/publications/procs/Proceeding3/1968,Proceeding 3 (1968)
http://localhost/publications/procs/Proceeding4/1968,Proceeding 4 (1968)
http://localhost/publications/procs/Proceeding5/1968,Proceeding 5 (1968)
http://localhost/publications/procs/Proceeding6/1968,Proceeding 6 (1968)
http://localhost/publications/procs/Proceeding7/1968,Proceeding 7 (1968)
http://localhost/publications/procs/Proceeding1/1969,Proceeding 1 (1969)
http://localhost/publications/procs/Proceeding2/1969,Proceeding 2 (1969)
http://localhost/publications/procs/Proceeding3/1969,Proceeding 3 (1969)
http://localhost/publications/procs/Proceeding4/1969,Proceeding 4 (1969)
http://localhost/publications/procs/Proceeding5/1969,Proceeding 5 (1969)
http://localhost/publications/procs/Proceeding6/1969,Proceeding 6 (1969)
http://localhost/publications/procs/Proceeding7/1969,Proceeding 7 (1969)
http://localhost/publications/procs/Proceeding8/1969,Proceeding 8 (1969)
http://localhost/publications/procs/Proceeding1/1970,Proceeding 1 (1970)
http://localhost/publications/procs/Proceeding2/1970,Proceeding 2 (1970)
http://localhost/publications/procs/Proceeding3/1970,Proceeding 3 (1970)
http://localhost/publications/procs/Proceeding4/1970,Proceeding 4 (1970)
http://localhost/publications/procs/Proceeding5/1970,Proceeding 5 (1970)
http://localhost/publications/procs/Proceeding6/1970,Proceeding 6 (1970)
http://localhost/publications/procs/Proceeding7/1970,Proceeding 7 (1970)
http://localhost/publications/procs/Proceeding8/1970,Proceeding 8 (1970)
http://localhost/publications/procs/Proceeding9/1970,Proceeding 9 (1970)
http://localhost/publications/procs/Proceeding1/1971,Proceeding 1 (1971)
http://localhost/publications/procs/Proceeding2/1971,Proceeding 2 (1971)
http://localhost/publications/procs/Proceeding3/1971,Proceeding 3 (1971)
http://localhost/publications/procs/Proceeding4/1971,Proceeding 4 (1971)
http://localhost/publications/procs/Proceeding5/1971,Proceeding 5 (1971)
http://localhost/publications/procs/Proceeding6/1971,Proceeding 6 (1971)
http://localhost/publications/procs/Proceeding7/1971,Proceeding 7 (1971)
http://localhost/publications/procs/Proceeding8/1971,Proceeding 8 (1971)
http://localhost/publications/procs/Proceeding9/1971,Proceeding 9 (1971)
http://localhost/publications/procs/Proceeding10/1971,Proceeding 10 (1971)
http://localhost/publications/procs/Proceeding1/1972,Proceeding 1 (1972)
http://localhost/publications/procs/Proceeding2/1972,Proceeding 2 (1972)
http://localhost/publications/procs/Proceeding3/1972,Proceeding 3 (1972)
http://localhost/publications/procs/Proceeding4/1972,Proceeding 4 (1972)
http://localhost/publications/procs/Proceeding5/1972,Proceeding 5 (1972)
